date_time,record_id,temp,pm2_5,aqi,ozone
2024-01-01 00:00:00,Maricopa,45.0,180.75833333333335,261.0,0.021587079983508506
2024-01-01 01:00:00,Maricopa,43.0,,,
2024-01-01 02:00:00,Maricopa,43.0,,,
2024-01-01 03:00:00,Maricopa,43.0,,,
2024-01-01 04:00:00,Maricopa,43.0,,,
2024-01-01 05:00:00,Maricopa,43.0,,,
2024-01-01 06:00:00,Maricopa,43.0,,,
2024-01-01 07:00:00,Maricopa,43.0,,,
2024-01-01 08:00:00,Maricopa,44.0,36.266666666666666,,
2024-01-01 09:00:00,Maricopa,49.0,,,
2024-01-01 10:00:00,Maricopa,53.0,,,
2024-01-01 11:00:00,Maricopa,56.0,,,
2024-01-01 12:00:00,Maricopa,59.0,,,
2024-01-01 13:00:00,Maricopa,60.0,,,
2024-01-01 14:00:00,Maricopa,61.0,,,
2024-01-01 15:00:00,Maricopa,62.0,,,
2024-01-01 16:00:00,Maricopa,61.0,27.633333333333333,,
2024-01-01 17:00:00,Maricopa,57.0,,,
2024-01-01 18:00:00,Maricopa,54.0,,,
2024-01-01 19:00:00,Maricopa,53.0,,,
2024-01-01 20:00:00,Maricopa,51.0,,,
2024-01-01 21:00:00,Maricopa,48.0,,,
2024-01-01 22:00:00,Maricopa,48.0,,,
2024-01-01 23:00:00,Maricopa,47.0,,,
2024-01-02 00:00:00,Maricopa,46.0,21.82777777777778,80.0,
2024-01-02 01:00:00,Maricopa,47.0,,,
2024-01-02 02:00:00,Maricopa,46.0,,,
2024-01-02 03:00:00,Maricopa,44.0,,,
2024-01-02 04:00:00,Maricopa,42.0,,,
2024-01-02 05:00:00,Maricopa,41.0,,,
2024-01-02 06:00:00,Maricopa,40.0,,,
2024-01-02 07:00:00,Maricopa,39.0,,,
2024-01-02 08:00:00,Maricopa,43.0,17.765451388888888,,
2024-01-02 09:00:00,Maricopa,50.0,,,
2024-01-02 10:00:00,Maricopa,55.0,,,
2024-01-02 11:00:00,Maricopa,60.0,,,
2024-01-02 12:00:00,Maricopa,62.0,,,
2024-01-02 13:00:00,Maricopa,64.0,,,
2024-01-02 14:00:00,Maricopa,65.0,,,
2024-01-02 15:00:00,Maricopa,65.0,,,
2024-01-02 16:00:00,Maricopa,64.0,15.429166666666667,,
2024-01-02 17:00:00,Maricopa,60.0,,,
2024-01-02 18:00:00,Maricopa,55.0,,,
2024-01-02 19:00:00,Maricopa,53.0,,,
2024-01-02 20:00:00,Maricopa,50.0,,,
2024-01-02 21:00:00,Maricopa,48.0,,,
2024-01-02 22:00:00,Maricopa,47.0,,,
2024-01-02 23:00:00,Maricopa,46.0,,,
2024-01-03 00:00:00,Maricopa,46.0,17.628298611111113,59.0,
2024-01-03 01:00:00,Maricopa,45.0,,,
2024-01-03 02:00:00,Maricopa,44.0,,,
2024-01-03 03:00:00,Maricopa,42.0,,,
2024-01-03 04:00:00,Maricopa,41.0,,,
2024-01-03 05:00:00,Maricopa,40.0,,,
2024-01-03 06:00:00,Maricopa,39.0,,,
2024-01-03 07:00:00,Maricopa,40.0,,,
2024-01-03 08:00:00,Maricopa,43.0,10.252430555555556,,
2024-01-03 09:00:00,Maricopa,50.0,,,
2024-01-03 10:00:00,Maricopa,55.0,,,
2024-01-03 11:00:00,Maricopa,59.0,,,
2024-01-03 12:00:00,Maricopa,62.0,,,
2024-01-03 13:00:00,Maricopa,64.0,,,
2024-01-03 14:00:00,Maricopa,64.0,,,
2024-01-03 15:00:00,Maricopa,62.0,,,
2024-01-03 16:00:00,Maricopa,60.0,6.894618055555556,,
