date_time,record_id,n_flows,n_packets,n_bytes,n_dest_ip,tcp_udp_ratio,dir_ratio_packets,avg_duration,avg_ttl,connection_count,error_rate
2024-01-01 00:48:26,10.0.90.172,192,2447,44552,7,0.3389691377121235,0.4381486075771739,12.90484990373062,153,196,0.0443588754302698
2024-01-01 00:54:23,10.0.90.172,289,3899,48602,10,0.9019218139647246,0.7134757336749571,10.174682951977797,223,266,0.0244713068819646
2024-01-01 01:30:46,10.0.90.172,288,5560,80682,13,0.4603489493690108,0.0666572423172884,6.876906401682224,133,294,0.0179182615993092
2024-01-01 03:03:38,10.0.90.172,200,3587,43872,7,0.1903285181220919,0.7464584836285926,4.31758321225568,34,216,0.015857411516784
2024-01-01 06:22:49,10.0.90.172,303,4456,61388,9,0.640484683781167,0.7134604546598193,17.350789727332014,137,278,0.0472494232498815
2024-01-01 06:51:59,10.0.90.172,328,4184,74245,13,0.1258606154929276,0.9709960783765182,5.196852888057288,124,335,0.0001536703619165
2024-01-01 07:22:19,10.0.90.172,122,2160,33846,5,0.3332720749848517,0.4676967057097854,0.849801876808527,165,143,0.0495858966753918
2024-01-01 09:53:34,10.0.90.172,403,8143,128694,18,0.664574814284701,0.4215319153791828,27.11293871934891,101,362,0.0381938793561374
2024-01-01 10:25:24,10.0.90.172,338,4307,80232,13,0.9979115949572864,0.7245289066363076,3.3349124571766886,169,305,0.0165389651535851
2024-01-01 12:38:26,10.0.90.172,404,7368,108093,19,0.154185936743263,0.8975418892561525,2.192539934782774,152,364,0.0199425965795198
2024-01-01 13:27:38,10.0.90.172,321,3508,66246,12,0.6741017174754067,0.2314237789544245,7.404375470294268,249,297,0.0217621866017213
2024-01-01 13:51:33,10.0.90.172,413,7334,98697,19,0.3584303229275392,0.4702121136311443,3.774380433582467,79,391,0.0098337470330236
2024-01-01 14:15:52,10.0.90.172,493,7798,87541,20,0.7231901462312997,0.0862529818255847,1.350724855030328,248,457,0.0131482502450669
2024-01-01 15:40:16,10.0.90.172,239,4738,68797,13,0.2849558725658371,0.3068937055879969,0.781645178263202,61,209,0.0368299752521075
2024-01-01 16:50:24,10.0.90.172,521,7808,96609,16,0.1946373801421195,0.6248728880933575,6.166654184845863,64,430,0.0231648387644222
2024-01-01 19:27:55,10.0.90.172,144,2248,38744,5,0.1677761447801566,0.2067849755934332,3.948405388563064,96,160,0.0178788326496676
2024-01-01 20:00:00,10.0.90.172,320,4506,58967,12,0.2497840922583521,0.7466987377775229,19.00615714712908,141,261,0.0129563447851939
2024-01-01 20:05:33,10.0.90.172,142,2469,44705,6,0.3829077005992689,0.929119511373842,0.0714926530845578,173,128,0.0426070004938027
2024-01-01 22:03:59,10.0.90.172,233,3891,61472,8,0.3511329214802504,0.5287171319396382,24.86956059938255,78,220,0.0237471051650976
2024-01-01 23:36:52,10.0.90.172,141,2097,45721,7,0.773470290088216,0.8807445290822983,14.014253426373235,248,161,0.0090774091200276
2024-01-01 23:50:32,10.0.90.172,183,2997,31817,6,0.4306806672453419,0.2233607607070172,20.40101972802418,208,148,0.0286924223424786
