date_time,record_id,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone
2021-01-01 03:15:00,USA_LAB,1.9,1,1,1,-0.41152263374486
2021-01-01 08:15:00,USA_LAB,-2.0,2,1,2,1.84049079754601
2021-01-01 13:30:00,USA_LAB,-0.8,14,2,14,-2.94037940379404
2021-01-01 18:45:00,USA_LAB,-4.0,6,1,6,-4.25531914893617
2021-01-01 19:15:00,USA_LAB,-2.0,3,1,3,-4.34782608695652
2021-01-01 21:00:00,USA_LAB,4.0,8,1,8,-0.57034220532319
2021-01-01 22:45:00,USA_LAB,4.0,12,2,12,-0.64935064935065
2021-01-02 00:15:00,USA_LAB,4.0,8,1,8,-0.57034220532319
2021-01-02 01:45:00,USA_LAB,4.0,6,1,6,-1.01010101010101
2021-01-02 02:00:00,USA_LAB,-2.0,6,1,6,-1.99252801992528
2021-01-02 13:30:00,USA_LAB,4.0,8,1,8,-10.472972972973
2021-01-02 16:15:00,USA_LAB,7.0,6,2,6,3.14305827238634
2021-01-02 21:00:00,USA_LAB,-10.0,1,1,1,1.11111111111112
2021-01-02 22:00:00,USA_LAB,0.0,2,1,2,-3.81471389645777
2021-01-02 23:15:00,USA_LAB,4.0,2,1,2,1.55172413793103
2021-01-02 23:45:00,USA_LAB,-5.0,6,1,6,-1.35542168674698
2021-01-03 00:30:00,USA_LAB,0.0,2,1,2,3.18471337579617
2021-01-03 02:45:00,USA_LAB,-2.0,6,1,6,-1.98366394399066
2021-01-03 03:15:00,USA_LAB,0.0,6,1,6,-16.0
2021-01-03 09:15:00,USA_LAB,-2.0,2,1,2,-4.83271375464684
2021-01-03 12:00:00,USA_LAB,3.0,6,1,6,2.48447204968944
2021-01-03 12:15:00,USA_LAB,3.0,2,1,2,-2.89193302891933
2021-01-03 12:45:00,USA_LAB,1.0,2,1,2,-0.17421602787457
2021-01-03 19:30:00,USA_LAB,1.0,6,1,6,-2.52034654765031
2021-01-03 22:45:00,USA_LAB,-5.0,6,1,6,-1.18694362017804
2021-01-04 01:30:00,USA_LAB,1.0,6,1,6,-2.68562401263824
2021-01-04 06:30:00,USA_LAB,-2.0,8,1,8,-0.45248868778281
2021-01-04 06:45:00,USA_LAB,3.4,6,1,6,-3.65111561866126
2021-01-04 07:45:00,USA_LAB,8.0,7,1,7,-1.15606936416185
2021-01-04 08:45:00,USA_LAB,-4.0,8,1,8,1.06951871657754
2021-01-04 12:30:00,USA_LAB,4.0,18,2,18,-1.48451300937154
2021-01-04 13:30:00,USA_LAB,8.0,4,1,4,-1.71919770773639
2021-01-04 14:30:00,USA_LAB,8.0,2,1,2,-1.35922330097087
2021-01-04 15:00:00,USA_LAB,3.4,2,1,2,0.961538461538458
2021-01-04 15:30:00,USA_LAB,-3.0,8,2,8,-2.16303844372395
2021-01-04 16:30:00,USA_LAB,-2.0,6,1,6,-0.5801305293691
2021-01-04 17:15:00,USA_LAB,4.0,10,1,10,-2.00166805671392
2021-01-04 18:15:00,USA_LAB,3.0,2,1,2,-0.95238095238096
2021-01-04 18:30:00,USA_LAB,3.0,6,1,6,-0.757575757575762
2021-01-04 19:15:00,USA_LAB,4.0,2,1,2,-1.62842339008142
2021-01-04 20:15:00,USA_LAB,-3.5,14,2,14,2.856334841628955
2021-01-04 21:00:00,USA_LAB,3.4,2,1,2,-2.09424083769633
2021-01-04 21:45:00,USA_LAB,8.0,4,1,4,-1.53061224489795
2021-01-04 22:00:00,USA_LAB,-2.0,3,1,3,-4.65116279069768
2021-01-04 22:30:00,USA_LAB,3.4,4,1,4,-5.18134715025906
2021-01-04 23:45:00,USA_LAB,3.4,2,1,2,-5.2389705882353
2021-01-05 00:30:00,USA_LAB,3.4,2,1,2,-5.12333965844403
2021-01-05 00:45:00,USA_LAB,8.0,2,1,2,-1.21212121212121
2021-01-05 01:15:00,USA_LAB,3.4,4,1,4,-1.67597765363128
2021-01-05 03:45:00,USA_LAB,4.0,2,1,2,3.59477124183007
2021-01-05 07:30:00,USA_LAB,-10.0,6,1,6,-3.84615384615385
2021-01-05 10:00:00,USA_LAB,1.9,2,1,2,0.84566596194503
2021-01-05 12:30:00,USA_LAB,7.4,4,1,4,-2.53807106598985
2021-01-05 12:45:00,USA_LAB,0.4,6,1,6,-3.59550561797752
2021-01-05 15:45:00,USA_LAB,5.0,2,1,2,-14.1975308641975
2021-01-05 16:30:00,USA_LAB,-4.0,2,1,2,-2.65604249667994
2021-01-05 17:30:00,USA_LAB,-0.8,4,2,4,-2.233119995567005
2021-01-05 18:00:00,USA_LAB,-10.0,2,1,2,-8.33333333333333
2021-01-05 19:00:00,USA_LAB,0.0,6,1,6,-2.1671826625387
2021-01-05 21:30:00,USA_LAB,8.0,6,3,6,0.4977370118927275
2021-01-06 00:45:00,USA_LAB,0.0,20,1,10,-5.55555555555556
2021-01-06 01:15:00,USA_LAB,-5.0,6,1,6,-9.52380952380948
2021-01-06 06:45:00,USA_LAB,3.0,2,1,2,-3.08285163776493
2021-01-06 10:45:00,USA_LAB,4.0,8,1,8,-2.69650028686173
2021-01-06 11:00:00,USA_LAB,3.5,4,1,4,-2.90340591848129
2021-01-06 12:00:00,USA_LAB,-5.0,2,1,2,-1.875
2021-01-06 12:15:00,USA_LAB,0.4,3,1,3,2.80561122244489
2021-01-06 16:00:00,USA_LAB,5.0,1,1,1,0.0
2021-01-06 17:00:00,USA_LAB,-3.0,10,2,10,-0.63472140576095
2021-01-06 17:30:00,USA_LAB,8.0,2,1,2,0.30425963488843
2021-01-06 17:45:00,USA_LAB,7.0,1,1,1,-0.586510263929617
2021-01-06 18:30:00,USA_LAB,4.0,6,1,6,-2.21997981836529
2021-01-06 21:30:00,USA_LAB,-4.4,6,1,6,-0.5722460658083
2021-01-06 22:00:00,USA_LAB,3.4,6,1,6,-3.82775119617225
2021-01-06 22:30:00,USA_LAB,-2.0,5,1,5,-3.82716049382716
2021-01-07 02:45:00,USA_LAB,3.4,4,1,4,4.67706013363029
2021-01-07 05:00:00,USA_LAB,0.0,6,1,6,-6.20792819745699
2021-01-07 10:15:00,USA_LAB,3.0,2,1,2,0.26809651474531
2021-01-07 11:00:00,USA_LAB,-2.0,5,1,5,-0.64327485380117
2021-01-07 13:45:00,USA_LAB,7.0,8,1,8,3.01075268817205
2021-01-07 18:00:00,USA_LAB,7.4,8,2,8,-2.30242852501624
2021-01-07 21:30:00,USA_LAB,1.9,2,1,2,-0.47318611987382
2021-01-07 22:00:00,USA_LAB,3.0,4,1,4,-0.22779043280182
2021-01-08 00:45:00,USA_LAB,2.8,3,1,3,-8.98617511520735
2021-01-08 05:00:00,USA_LAB,7.0,2,1,2,-2.71317829457364
2021-01-08 09:00:00,USA_LAB,3.4,6,1,6,0.84925690021232
2021-01-08 09:15:00,USA_LAB,4.0,3,1,3,-0.48543689320388
2021-01-08 16:00:00,USA_LAB,2.8,3,1,3,-4.53514739229025
2021-01-08 18:15:00,USA_LAB,-4.0,1,1,1,-0.5947323704333
2021-01-08 20:45:00,USA_LAB,1.0,2,1,2,1.42348754448398
2021-01-08 22:15:00,USA_LAB,-6.0,10,2,10,-2.825549197446575
2021-01-08 23:00:00,USA_LAB,0.0,3,3,3,-2.034359523840635
2021-01-09 00:30:00,USA_LAB,0.0,1,1,1,-1.89189189189189
2021-01-09 00:45:00,USA_LAB,0.0,1,1,1,-1.97044334975369
2021-01-09 01:15:00,USA_LAB,0.0,3,3,3,-2.29888843145328
