date_time,record_id,open_issues,new_issues,closed_issues,avg_age_open_issues_hr,issue_comment_volume,open_prs,new_prs,merged_prs,avg_age_open_prs_hr,pr_comment_volume
2015-08-12 17:34:58,kubernetes/kubernetes,0,0,0,0.0,0,0,0,0,0.0,0
2015-08-13 17:34:58,kubernetes/kubernetes,13,31,18,0.0,513,12,46,34,11.049841269841268,172
2015-08-14 17:34:58,kubernetes/kubernetes,32,28,9,0.0,451,26,39,25,25.08493055555556,175
2015-08-15 17:34:58,kubernetes/kubernetes,36,14,10,0.0,242,31,18,13,41.286740740740726,74
2015-08-16 17:34:58,kubernetes/kubernetes,37,1,0,0.0,44,32,1,0,65.28674074074073,34
2015-08-17 17:34:58,kubernetes/kubernetes,33,18,22,0.0,378,37,20,15,75.50856481481482,86
2015-08-18 17:34:58,kubernetes/kubernetes,32,21,22,0.0,658,44,38,31,71.79157407407406,197
2015-08-19 17:34:58,kubernetes/kubernetes,27,17,22,0.0,639,72,47,19,82.80612847222223,196
2015-08-20 17:34:58,kubernetes/kubernetes,23,14,18,21.64,596,63,37,46,87.8928888888889,231
2015-08-21 17:34:58,kubernetes/kubernetes,18,19,24,45.64,557,63,39,39,93.32681972789116,340
2015-08-22 17:34:58,kubernetes/kubernetes,25,11,4,69.64,391,54,14,23,113.46943355119826,96
2015-08-23 17:34:58,kubernetes/kubernetes,22,2,5,93.64,57,59,5,0,135.0042628205128,10
2015-08-24 17:34:58,kubernetes/kubernetes,22,7,7,117.64,216,73,19,5,148.37901785714283,127
2015-08-25 17:34:58,kubernetes/kubernetes,20,13,15,141.64,512,69,35,39,152.66796875,122
2015-08-26 17:34:58,kubernetes/kubernetes,-52,27,99,165.64,666,86,44,27,160.5362323943662,182
2015-08-27 17:34:58,kubernetes/kubernetes,-99,24,71,189.64,588,93,30,23,173.09996710526315,184
2015-08-28 17:34:58,kubernetes/kubernetes,-115,10,26,213.64,763,101,29,21,190.0199718706048,204
2015-08-29 17:34:58,kubernetes/kubernetes,-105,17,7,237.64,386,108,26,19,202.16318783068783,237
2015-08-30 17:34:58,kubernetes/kubernetes,-99,6,0,261.64,38,109,1,0,226.16318783068783,10
2015-08-31 17:34:58,kubernetes/kubernetes,-98,10,9,144.61624999999998,292,121,22,10,234.034188271605,77
2015-09-01 17:34:58,kubernetes/kubernetes,-88,41,31,168.61624999999998,1089,124,49,46,242.79039641203704,390
2015-09-02 17:34:58,kubernetes/kubernetes,-78,35,25,192.61625,1203,139,63,48,249.868117583603,287
2015-09-03 17:34:58,kubernetes/kubernetes,-74,11,7,216.61625,762,157,35,17,264.0760046728972,201
2015-09-04 17:34:58,kubernetes/kubernetes,-70,16,12,240.61625,601,124,21,54,280.53852272727266,187
2015-09-05 17:34:58,kubernetes/kubernetes,-74,5,9,264.61625,247,113,8,19,299.1446403769841,62
2015-09-06 17:34:58,kubernetes/kubernetes,-75,4,5,288.61625,103,125,12,0,312.46531369731804,7
2015-09-07 17:34:58,kubernetes/kubernetes,-66,9,0,312.61625,234,124,9,10,333.66415242165243,37
2015-09-08 17:34:58,kubernetes/kubernetes,-65,8,7,336.61625,311,133,24,15,340.6545483288167,157
2015-09-09 17:34:58,kubernetes/kubernetes,-54,23,12,360.61625,646,156,47,24,335.83521558872303,213
2015-09-10 17:34:58,kubernetes/kubernetes,-35,27,8,384.61625,800,169,41,28,352.2802737226277,187
2015-09-11 17:34:58,kubernetes/kubernetes,-27,17,9,408.61625,693,178,34,25,366.0824645390071,137
2015-09-12 17:34:58,kubernetes/kubernetes,-23,13,9,432.61625,342,172,14,20,377.35415905631663,97
2015-09-13 17:34:58,kubernetes/kubernetes,-20,4,1,456.61625,219,168,5,9,398.6729270597128,15
2015-09-14 17:34:58,kubernetes/kubernetes,-20,5,5,480.61625,277,179,18,7,409.0338961988304,113
2015-09-15 17:34:58,kubernetes/kubernetes,-28,11,19,504.61625,718,193,40,26,417.2551758087202,262
2015-09-16 17:34:58,kubernetes/kubernetes,-20,30,22,528.61625,898,202,45,36,418.342117431803,262
2015-09-17 17:34:58,kubernetes/kubernetes,-6,32,18,369.5341666666666,916,192,40,50,420.2888999368688,272
2015-09-18 17:34:58,kubernetes/kubernetes,2,26,18,200.29,915,200,40,32,421.0261738351255,365
2015-09-19 17:34:58,kubernetes/kubernetes,9,12,5,194.6536111111111,475,202,24,22,435.98880263157895,138
2015-09-20 17:34:58,kubernetes/kubernetes,12,7,4,218.6536111111111,153,205,9,6,457.6936591041303,7
2015-09-21 17:34:58,kubernetes/kubernetes,25,19,6,242.6536111111111,338,222,27,10,472.0232279202279,100
2015-09-22 17:34:58,kubernetes/kubernetes,45,35,15,233.469375,892,230,44,36,479.2708429592959,273
2015-09-23 17:34:58,kubernetes/kubernetes,63,32,14,257.469375,622,255,36,11,489.1125026709402,228
2015-09-24 17:34:58,kubernetes/kubernetes,75,22,10,281.469375,587,267,49,37,490.1338583078492,268
2015-09-25 17:34:58,kubernetes/kubernetes,80,21,16,248.9558055555556,636,269,38,36,498.4720567901235,244
2015-09-26 17:34:58,kubernetes/kubernetes,84,17,13,249.4773737373737,494,269,33,33,509.2932058682059,113
2015-09-27 17:34:58,kubernetes/kubernetes,87,4,1,273.47737373737374,95,273,5,1,533.2932058682059,9
2015-09-28 17:34:58,kubernetes/kubernetes,94,17,10,297.47737373737374,312,291,23,5,552.5914306151645,61
2015-09-29 17:34:58,kubernetes/kubernetes,110,32,16,296.00923611111114,844,329,55,17,548.997672335601,234
2015-09-30 17:34:58,kubernetes/kubernetes,123,36,23,296.57166666666666,718,332,48,45,566.1639202508961,217
2015-10-01 17:34:58,kubernetes/kubernetes,140,63,46,320.57166666666666,1253,328,59,63,572.19986328125,246
2015-10-02 17:34:58,kubernetes/kubernetes,160,41,21,320.95103174603173,1121,338,66,56,574.1955795739349,239
2015-10-03 17:34:58,kubernetes/kubernetes,161,16,15,344.9510317460318,530,352,40,26,581.2824351175993,115
2015-10-04 17:34:58,kubernetes/kubernetes,164,3,0,368.9510317460318,114,351,3,4,605.2824351175993,2
2015-10-05 17:34:58,kubernetes/kubernetes,171,11,4,392.9510317460318,225,357,19,13,622.5803760529483,40
