date_time,record_id,temp,pm2_5,aqi,ozone
2024-01-01 00:00:00,Bexar,53.82000000000001,45.24166666666667,199.0,0.021143574297188716
2024-01-01 01:00:00,Bexar,53.9,,,
2024-01-01 02:00:00,Bexar,54.8,,,
2024-01-01 03:00:00,Bexar,55.06,,,
2024-01-01 04:00:00,Bexar,54.760000000000005,,,
2024-01-01 05:00:00,Bexar,52.88,,,
2024-01-01 06:00:00,Bexar,50.36,,,
2024-01-01 07:00:00,Bexar,47.88,,,
2024-01-01 08:00:00,Bexar,46.84,6.004166666666666,,
2024-01-01 09:00:00,Bexar,47.06,,,
2024-01-01 10:00:00,Bexar,49.1,,,
2024-01-01 11:00:00,Bexar,51.58,,,
2024-01-01 12:00:00,Bexar,53.48,,,
2024-01-01 13:00:00,Bexar,56.06,,,
2024-01-01 14:00:00,Bexar,58.08,,,
2024-01-01 15:00:00,Bexar,59.260000000000005,,,
2024-01-01 16:00:00,Bexar,59.66,7.479166666666666,,
2024-01-01 17:00:00,Bexar,57.04,,,
2024-01-01 18:00:00,Bexar,53.24,,,
2024-01-01 19:00:00,Bexar,50.16,,,
2024-01-01 20:00:00,Bexar,47.5,,,
2024-01-01 21:00:00,Bexar,45.7,,,
2024-01-01 22:00:00,Bexar,45.4,,,
2024-01-01 23:00:00,Bexar,45.68,,,
2024-01-02 00:00:00,Bexar,46.34,9.45,54.0,
2024-01-02 01:00:00,Bexar,46.02,,,
2024-01-02 02:00:00,Bexar,45.98,,,
2024-01-02 03:00:00,Bexar,46.1,,,
2024-01-02 04:00:00,Bexar,46.46,,,
2024-01-02 05:00:00,Bexar,46.5,,,
2024-01-02 06:00:00,Bexar,46.5,,,
2024-01-02 07:00:00,Bexar,46.14,,,
2024-01-02 08:00:00,Bexar,45.760000000000005,13.7875,,
2024-01-02 09:00:00,Bexar,44.86,,,
2024-01-02 10:00:00,Bexar,45.0,,,
2024-01-02 11:00:00,Bexar,45.3,,,
2024-01-02 12:00:00,Bexar,46.22,,,
2024-01-02 13:00:00,Bexar,46.94,,,
2024-01-02 14:00:00,Bexar,46.9,,,
2024-01-02 15:00:00,Bexar,47.52,,,
2024-01-02 16:00:00,Bexar,47.66,6.11875,,
2024-01-02 17:00:00,Bexar,47.62,,,
2024-01-02 18:00:00,Bexar,47.86,,,
2024-01-02 19:00:00,Bexar,47.760000000000005,,,
2024-01-02 20:00:00,Bexar,47.48,,,
2024-01-02 21:00:00,Bexar,47.06,,,
2024-01-02 22:00:00,Bexar,46.44,,,
2024-01-02 23:00:00,Bexar,46.16,,,
2024-01-03 00:00:00,Bexar,45.92,4.646875,29.0,
2024-01-03 01:00:00,Bexar,44.98,,,
2024-01-03 02:00:00,Bexar,44.34,,,
2024-01-03 03:00:00,Bexar,44.62,,,
2024-01-03 04:00:00,Bexar,44.62,,,
2024-01-03 05:00:00,Bexar,44.78,,,
2024-01-03 06:00:00,Bexar,45.24,,,
