date_time,record_id,n_flows,n_packets,n_bytes,n_dest_ip,tcp_udp_ratio,dir_ratio_packets,avg_duration,avg_ttl,connection_count,error_rate
2023-12-31 23:45:41,server-1245,62,301,27719,27,0.8478056199187431,0.8990070705073107,15.434316815846062,46,70,0.0233159791446699
2024-01-01 00:20:59,server-1245,116,388,55463,33,0.0092939220133477,0.0711574436555361,19.80526665992357,233,97,0.0033933414217643
2024-01-01 01:54:12,server-1245,112,540,72552,48,0.4742104164944862,0.6682233395967047,40.50958473321993,33,128,0.0465032543646382
2024-01-01 04:23:53,server-1245,70,381,37522,32,0.9515938309288248,0.5611330556250019,14.450446558519396,219,81,0.0235136619339686
2024-01-01 04:51:14,server-1245,95,450,41491,31,0.3865779548394853,0.0789602109552846,11.610018363666086,238,111,0.0381844100886228
2024-01-01 06:31:11,server-1245,66,402,41756,27,0.0701050627282985,0.4580599656361594,2.1634025022943746,252,62,0.0445538028020073
2024-01-01 06:39:57,server-1245,57,256,42075,24,0.0424421792908176,0.635274607636993,2.9689680191767995,49,66,0.0144461640522957
2024-01-01 07:01:22,server-1245,62,243,31543,20,0.5616635678053163,0.3912419628264068,3.800494505866636,49,61,0.0304172020200816
2024-01-01 10:34:06,server-1245,379,1350,157400,147,0.1731844884656536,0.3781338341335065,7.067272652023238,180,349,0.0293988022438981
2024-01-01 10:37:55,server-1245,186,980,106553,66,0.4383291303168255,0.4401973253884668,13.159341617964712,252,178,0.0160421143548391
2024-01-01 12:05:18,server-1245,231,1039,125736,83,0.8710556757071287,0.7337370238496349,1.0427599317374183,61,264,0.0292684125709036
2024-01-01 13:18:12,server-1245,223,1141,111618,97,0.2138257968591527,0.8449069145495308,5.016573272298754,108,214,0.0203100096529188
2024-01-01 14:52:14,server-1245,234,1353,164251,99,0.6448088888555367,0.5885906704967183,16.980790084558752,68,210,0.0315326220043545
2024-01-01 16:24:32,server-1245,198,811,84844,81,0.2906970002410087,0.8081552627863766,3.0470769300992733,135,201,0.0094358855877159
2024-01-01 17:06:25,server-1245,186,956,96977,83,0.6727238280496187,0.4946683794742854,12.007479213085528,161,219,0.0435237204021627
2024-01-01 18:07:09,server-1245,108,604,74847,47,0.0097211486971189,0.9523927301753592,16.031661514478177,175,113,0.0437672609637725
2024-01-01 19:35:13,server-1245,92,502,49524,41,0.6159721949388953,0.7263161297162387,16.138890975377954,253,85,0.0171817983056283
2024-01-01 20:06:53,server-1245,42,237,26490,16,0.2110472355010644,0.4495410674954204,17.904088904426196,62,36,0.0119556308263615
2024-01-01 21:21:31,server-1245,77,336,36545,25,0.7975322765932407,0.4155292996616719,10.084434884251923,147,76,0.0290273740431417
2024-01-01 23:02:57,server-1245,126,649,56172,39,0.6471924533524446,0.3025226787999268,15.952784872184491,249,142,0.027661479749386
2024-01-02 00:55:30,server-1245,45,269,22615,20,0.0693329593092939,0.5766592914152345,2.654954101124668,113,44,0.0476383175988443
2024-01-02 01:25:45,server-1245,110,508,53027,35,0.9977950138774692,0.2356376603953519,2.0305105933450083,185,130,0.0286927129687077
